epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.12075,2.7891,4.01481,1.71548,0,0,0,0,3.11282,4.11336,1.8954,0,0,0
2,6.13224,2.70356,3.98212,1.68473,0,0,0,0,2.97058,4.05091,1.80051,1.9604e-05,1.9604e-05,1.9604e-05
3,9.06592,2.82947,3.91743,1.7716,0,0,0,0,2.71148,3.96779,1.66381,3.8416e-05,3.8416e-05,3.8416e-05
4,11.9202,2.3725,3.86501,1.59318,0,0,0,0,2.44232,3.84959,1.51315,5.6436e-05,5.6436e-05,5.6436e-05
5,14.8995,2.29526,3.72931,1.49551,0.00026,0.00719,0.00013,1e-05,2.20006,3.76386,1.37861,7.3664e-05,7.3664e-05,7.3664e-05
6,17.7531,2.30775,3.66082,1.46282,0.00231,0.06475,0.00135,0.00032,2.10324,3.70821,1.3241,9.01e-05,9.01e-05,9.01e-05
7,20.7277,2.17023,3.52334,1.31051,0.01462,0.41007,0.01325,0.00407,2.05359,3.64345,1.26662,0.000105744,0.000105744,0.000105744
8,23.5916,2.25794,3.40855,1.34246,0.02641,0.74101,0.03705,0.01414,1.97963,3.55845,1.21363,0.000120596,0.000120596,0.000120596
9,26.5257,2.30745,3.29342,1.25355,0.03385,0.94964,0.05593,0.02192,1.97278,3.49179,1.19513,0.000134656,0.000134656,0.000134656
10,29.4259,1.91954,2.97979,1.20222,0.03462,0.97122,0.06263,0.02452,1.97037,3.44189,1.19467,0.000147924,0.000147924,0.000147924
11,32.3634,2.01187,2.89808,1.14739,0.03436,0.96403,0.0639,0.02568,1.96206,3.39528,1.1877,0.0001604,0.0001604,0.0001604
12,35.3374,2.02432,2.5584,1.19904,0.03487,0.97842,0.06661,0.0275,1.94562,3.34247,1.18149,0.000172084,0.000172084,0.000172084
13,38.2168,2.00441,2.27409,1.14452,0.03487,0.97842,0.0682,0.02786,1.94085,3.28304,1.18441,0.000182976,0.000182976,0.000182976
14,41.1158,2.04479,2.25162,1.11862,0.03487,0.97842,0.06871,0.02784,1.90553,3.22367,1.17303,0.000193076,0.000193076,0.000193076
15,43.9789,1.87565,1.99578,1.16101,0.03462,0.97122,0.07159,0.03027,1.88275,3.15047,1.16081,0.000202384,0.000202384,0.000202384
16,46.9326,1.96049,1.97057,1.08474,0.03436,0.96403,0.10588,0.04838,1.84138,3.08902,1.14172,0.0002109,0.0002109,0.0002109
17,49.9272,1.9769,1.89121,1.11357,0.03487,0.97842,0.15022,0.06636,1.81599,3.03807,1.13411,0.000218624,0.000218624,0.000218624
18,52.9612,1.95553,1.87682,1.1758,0.03487,0.97842,0.15022,0.06636,1.81599,3.03807,1.13411,0.000225556,0.000225556,0.000225556
19,56.2931,1.94541,2.01446,1.10803,0.03487,0.97842,0.14646,0.0614,1.8113,3.00805,1.12522,0.000231696,0.000231696,0.000231696
20,59.2324,1.94328,1.84077,1.17813,0.03487,0.97842,0.14646,0.0614,1.8113,3.00805,1.12522,0.000237044,0.000237044,0.000237044
21,62.2608,1.84109,1.79353,1.03935,0.03462,0.97122,0.09819,0.04073,1.82642,2.99393,1.12579,0.0002416,0.0002416,0.0002416
22,65.2116,1.83906,1.83584,1.16207,0.03462,0.97122,0.09819,0.04073,1.82642,2.99393,1.12579,0.000245364,0.000245364,0.000245364
23,68.1796,1.96812,1.88927,1.25055,0.03487,0.97842,0.07848,0.03031,1.86823,2.9795,1.13535,0.000248336,0.000248336,0.000248336
24,71.0977,1.92336,1.89411,1.16753,0.03487,0.97842,0.07848,0.03031,1.86823,2.9795,1.13535,0.000250516,0.000250516,0.000250516
25,74.0607,1.8468,1.77122,1.09928,0.03462,0.97122,0.06849,0.02745,1.8742,2.96485,1.1315,0.000251904,0.000251904,0.000251904
26,76.9425,1.86448,1.74627,1.1142,0.03462,0.97122,0.06849,0.02745,1.8742,2.96485,1.1315,0.0002525,0.0002525,0.0002525
27,80.0702,1.87983,1.78076,1.13282,0.03513,0.98561,0.07003,0.02978,1.82575,2.94314,1.11638,0.000252304,0.000252304,0.000252304
